***********************************************
   215 :-98.895821+0.000000i   -0.110322+0.000000i
   216 :-97.341125+0.000000i   -12.486418+0.000000i
   217 :-86.260101+-0.000000i   -22.668158+0.000000i
   218 :-68.062378+0.000000i   -28.898960+-0.000000i
   219 :-46.049438+0.000000i   -29.775061+0.000000i
   220 :-23.749029+-0.000000i   -24.560043+0.000000i
   221 :-4.242320+-0.000000i   -13.406523+0.000000i
   222 :10.378898+0.000000i   2.572902+0.000000i
   223 :19.318338+-0.000000i   21.413267+0.000000i
   224 :23.091074+-0.000000i   40.575211+-0.000000i
   225 :23.255964+0.000000i   57.341763+0.000000i
   226 :21.935680+-0.000000i   69.265015+0.000000i
   227 :21.235113+-0.000000i   74.571663+0.000000i
   228 :22.691566+-0.000000i   72.449921+0.000000i
   229 :26.880093+0.000000i   63.162506+0.000000i
   230 :33.261826+-0.000000i   47.967876+-0.000000i
   231 :40.309216+-0.000000i   28.869562+-0.000000i
   232 :45.878502+-0.000000i   8.253593+-0.000000i
   233 :47.747601+-0.000000i   -11.513535+0.000000i
   234 :44.196659+-0.000000i   -28.442085+-0.000000i
   235 :34.499130+-0.000000i   -41.166592+0.000000i
   236 :19.208117+0.000000i   -49.045818+0.000000i
   237 :0.165212+0.000000i   -52.113190+-0.000000i
   238 :-19.780891+-0.000000i   -50.909599+0.000000i
   239 :-37.298340+0.000000i   -46.254341+-0.000000i
   240 :-49.230194+0.000000i   -39.019676+0.000000i
   241 :-53.256813+0.000000i   -29.965767+-0.000000i
   242 :-48.416992+-0.000000i   -19.671576+0.000000i
   243 :-35.374447+0.000000i   -8.566813+0.000000i
   244 :-16.363920+0.000000i   2.959702+-0.000000i
   245 :5.182813+0.000000i   14.422507+-0.000000i
   246 :25.266722+0.000000i   25.129694+-0.000000i
   247 :40.081455+-0.000000i   34.147144+0.000000i
   248 :46.759071+0.000000i   40.367920+-0.000000i
   249 :43.945724+-0.000000i   42.682106+0.000000i
   250 :32.089520+-0.000000i   40.215214+0.000000i
   251 :13.375083+0.000000i   32.578365+-0.000000i
   252 :-8.683228+0.000000i   20.065790+0.000000i
   253 :-29.923435+0.000000i   3.736328+0.000000i
   254 :-46.345554+0.000000i   -14.650178+0.000000i
   255 :-54.905094+0.000000i   -32.856304+-0.000000i
   256 :-54.113991+-0.000000i   -48.503372+0.000000i
   257 :-44.339500+-0.000000i   -59.473629+-0.000000i
   258 :-27.727713+0.000000i   -64.284515+0.000000i
   259 :-7.771805+0.000000i   -62.364799+0.000000i
   260 :11.401918+0.000000i   -54.170376+-0.000000i
   261 :25.875294+0.000000i   -41.112122+-0.000000i
   262 :32.753330+-0.000000i   -25.305958+-0.000000i
   263 :30.772848+0.000000i   -9.201305+0.000000i
   264 :20.590153+0.000000i   4.847036+-0.000000i
   265 :4.676821+0.000000i   14.967818+-0.000000i
   266 :-13.153881+0.000000i   20.053204+0.000000i
   267 :-28.510015+0.000000i   19.881096+-0.000000i
   268 :-37.312393+0.000000i   15.060805+-0.000000i
   269 :-36.651402+0.000000i   6.830292+-0.000000i
   270 :-25.426580+0.000000i   -3.240358+-0.000000i
   271 :-4.644394+0.000000i   -13.570934+-0.000000i
   272 :22.688913+0.000000i   -22.840727+-0.000000i
   273 :52.073341+0.000000i   -30.159788+0.000000i
